shortcode,link_postingan,teks_asli,teks_bersih,sentimen,skor,topik
DWsw74PgDB8,https://www.instagram.com/p/DWsw74PgDB8/,aina.mdh,ainamdh,positif,0.961,umum
DWsw74PgDB8,https://www.instagram.com/p/DWsw74PgDB8/,diazisco.kt,diaziscokt,netral,0.609,umum
DWsw74PgDB8,https://www.instagram.com/p/DWsw74PgDB8/,bakhrudeon_bndl,bakhrudeon_bndl,netral,0.957,umum
DWsw74PgDB8,https://www.instagram.com/p/DWsw74PgDB8/,ucyboyy.nt,ucyboyynt,netral,0.698,umum
DZ18Ydrjzhd,https://www.instagram.com/p/DZ18Ydrjzhd/,alana_achmad.m,alana_achmadm,netral,0.988,umum
DZ18Ydrjzhd,https://www.instagram.com/p/DZ18Ydrjzhd/,naiyylh,naiyylh,negatif,0.923,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,infogresik,infogresik,netral,0.981,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,bukhosia,bukhosia,positif,0.839,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,vellarahman_,vellarahman_,netral,0.848,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,fabillaalf,fabillaalf,positif,0.803,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,sultanzico5,sultanzico5,positif,0.539,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,andxxhrnds_,andxxhrnds_,netral,0.885,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,aldianpalekaa_,aldianpalekaa_,netral,0.905,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,hamizan.alfarezel,hamizanalfarezel,netral,0.917,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,alannduk,alannduk,netral,0.81,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,vivindwi_oktav,vivindwi_oktav,netral,0.985,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,farel_adho,farel_adho,netral,0.989,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,p_anshorii,p_anshorii,netral,0.988,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,lewatkandangan,lewatkandangan,positif,0.86,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,rryaaannnx,rryaaannnx,positif,0.759,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,ibook.dyro,ibookdyro,positif,0.766,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,imanurlm,imanurlm,positif,0.655,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,harrik_08,harrik_08,netral,0.981,umum
DaCBvQHy0jI,https://www.instagram.com/p/DaCBvQHy0jI/,polsek_gresik_kota,polsek_gresik_kota,netral,0.997,umum
DaCBvQHy0jI,https://www.instagram.com/p/DaCBvQHy0jI/,ridwan_ntd_35,ridwan_ntd_35,netral,0.995,umum
DaCBvQHy0jI,https://www.instagram.com/p/DaCBvQHy0jI/,hepi_riza,hepi_riza,positif,0.94,umum
DaCBvQHy0jI,https://www.instagram.com/p/DaCBvQHy0jI/,koko937496,koko937496,netral,0.925,umum
DY4RdCuvDoa,https://www.instagram.com/p/DY4RdCuvDoa/,gresik_info_loker,gresik_info_loker,netral,0.997,umum
DY4RdCuvDoa,https://www.instagram.com/p/DY4RdCuvDoa/,budiningtias,budiningtias,netral,0.786,umum
DY4RdCuvDoa,https://www.instagram.com/p/DY4RdCuvDoa/,cv.suksesku,cvsuksesku,positif,0.915,umum
DZYtiy4yrsO,https://www.instagram.com/p/DZYtiy4yrsO/,apotekhidayah.suci,apotekhidayahsuci,netral,0.7,umum
DacKxgBjxXK,https://www.instagram.com/p/DacKxgBjxXK/,sintyamakeupartist,sintyamakeupartist,netral,0.77,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,inigresik,inigresik,netral,0.97,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,marsuo.mlvt,marsuomlvt,netral,0.488,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,amxccpp,amxccpp,positif,0.988,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,_4kmal.haq,_4kmalhaq,netral,0.901,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,sulton_firdaus,sulton_firdaus,netral,0.962,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,nonanontihanan,nonanontihanan,positif,0.551,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,sirtuz,sirtuz,positif,0.865,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,beenue07,beenue07,netral,0.504,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,jinceret,jinceret,negatif,0.948,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,uppyk_bening,uppyk_bening,positif,0.93,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,hafidalvino6,hafidalvino6,netral,0.761,umum
DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,satlantasresgresik,satlantasresgresik,netral,0.997,umum
DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,polresgresik_official,polresgresik_official,netral,0.996,umum
DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,prastio385,prastio385,netral,0.892,umum
DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,imam_alel1112,imam_alel1112,netral,0.995,umum
DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,herusumarsono3,herusumarsono3,netral,0.951,umum
DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,ningsih220887,ningsih220887,netral,0.982,umum
DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,nusantaraexpress.id,nusantaraexpressid,netral,0.888,umum
DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,eko.wulandari.33,ekowulandari33,netral,0.784,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,bugurusayanggggg,bugurusayanggggg,positif,0.679,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,syaifulromadlon29,syaifulromadlon29,netral,0.984,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,mahaputra944,mahaputra944,netral,0.848,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,kajirifki_,kajirifki_,netral,0.818,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,w_bajol,w_bajol,netral,0.951,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,ilmawan_firdausi,ilmawan_firdausi,netral,0.977,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,muyatno.m,muyatnom,positif,0.432,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,wisnuzibanie,wisnuzibanie,netral,0.773,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,antokwijaya54,antokwijaya54,netral,0.853,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,ikanbuntal_37,ikanbuntal_37,netral,0.971,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,alimfauzi_97,alimfauzi_97,netral,0.894,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,nah.gtu,nahgtu,negatif,0.858,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,yunusafandi39,yunusafandi39,netral,0.668,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,ardjunalanangingjagad,ardjunalanangingjagad,positif,0.627,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,ahmszi,ahmszi,positif,0.515,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,khoir_rafif,khoir_rafif,netral,0.971,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,taaruf.uk,taarufuk,positif,0.891,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,taaruf.iin,taarufiin,positif,0.847,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,syauqi_ilm,syauqi_ilm,netral,0.905,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,dedypengenbaik,dedypengenbaik,netral,0.591,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,jefry_nyell06,jefry_nyell06,netral,0.992,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,edygaktuh,edygaktuh,positif,0.872,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,kokoyudha,kokoyudha,positif,0.965,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,asrori_kp,asrori_kp,netral,0.952,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,aldnsyhp,aldnsyhp,positif,0.597,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,eson.el,esonel,positif,0.564,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,kng.sc,kngsc,positif,0.496,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,andrianiccl,andrianiccl,positif,0.662,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,shofi_taqiyyuddin,shofi_taqiyyuddin,netral,0.975,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,hmxcrtyze,hmxcrtyze,netral,0.701,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,ddewiisekarr_,ddewiisekarr_,netral,0.868,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,muhammad1437459,muhammad1437459,netral,0.922,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,hilmanfakhru21,hilmanfakhru21,netral,0.945,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,xr.ilhams,xrilhams,positif,0.56,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,rkmhrdk,rkmhrdk,netral,0.511,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,nobinotokay,nobinotokay,positif,0.791,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,dimas_ocs,dimas_ocs,netral,0.989,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,heri_ko,heri_ko,netral,0.897,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,fellangiii,fellangiii,positif,0.985,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,mamed.s88,mameds88,netral,0.59,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,kvynska,kvynska,netral,0.581,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,dhaffamdr_,dhaffamdr_,netral,0.602,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,_nnasrri,_nnasrri,positif,0.573,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,novan.sanjaya08,novansanjaya08,netral,0.896,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,m.aliffiansyhn,maliffiansyhn,positif,0.633,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,dicslurrr___,dicslurrr___,netral,0.598,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,aswin.dwi2,aswindwi2,positif,0.73,umum
DZHSz_nTMhz,https://www.instagram.com/p/DZHSz_nTMhz/,pais_bedjoo,pais_bedjoo,negatif,0.559,umum
DZHSz_nTMhz,https://www.instagram.com/p/DZHSz_nTMhz/,maulana_fikrich,maulana_fikrich,netral,0.968,umum
DZHSz_nTMhz,https://www.instagram.com/p/DZHSz_nTMhz/,qaqagtg,qaqagtg,positif,0.43,umum
DZHSz_nTMhz,https://www.instagram.com/p/DZHSz_nTMhz/,pemikatkopi08,pemikatkopi08,negatif,0.346,umum
DZHSz_nTMhz,https://www.instagram.com/p/DZHSz_nTMhz/,ny_iswanto3113,ny_iswanto3113,netral,0.991,umum
DZHSz_nTMhz,https://www.instagram.com/p/DZHSz_nTMhz/,_ahmdfiikri,_ahmdfiikri,netral,0.966,umum
DZHSz_nTMhz,https://www.instagram.com/p/DZHSz_nTMhz/,alifjom,alifjom,positif,0.585,umum
DZHSz_nTMhz,https://www.instagram.com/p/DZHSz_nTMhz/,alfan_fauzi27,alfan_fauzi27,netral,0.989,umum
DZHSz_nTMhz,https://www.instagram.com/p/DZHSz_nTMhz/,niawida,niawida,netral,0.552,umum
DZHSz_nTMhz,https://www.instagram.com/p/DZHSz_nTMhz/,rahmadanugrahranggaxel,rahmadanugrahranggaxel,netral,0.925,umum
DZHSz_nTMhz,https://www.instagram.com/p/DZHSz_nTMhz/,arya_nyll,arya_nyll,netral,0.962,umum
DZHSz_nTMhz,https://www.instagram.com/p/DZHSz_nTMhz/,muhammad.el_m,muhammadel_m,netral,0.965,umum
DZHSz_nTMhz,https://www.instagram.com/p/DZHSz_nTMhz/,ms.dlbo,msdlbo,positif,0.906,umum
DZHSz_nTMhz,https://www.instagram.com/p/DZHSz_nTMhz/,its.an.nisa,itsannisa,positif,0.987,umum
DZHSz_nTMhz,https://www.instagram.com/p/DZHSz_nTMhz/,brutoke,brutoke,positif,0.951,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,cakpudak,cakpudak,positif,0.681,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,jukir.neraka,jukirneraka,positif,0.736,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,bayu_bogang,bayu_bogang,netral,0.982,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,muammar_kahfi,muammar_kahfi,netral,0.993,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,v3086_ig,v3086_ig,netral,0.994,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,lightlab_studio,lightlab_studio,netral,0.986,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,hasan_dmb,hasan_dmb,netral,0.96,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,ak416_danoe_,ak416_danoe_,netral,0.98,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,hanniefaa_,hanniefaa_,netral,0.786,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,drajatsatrio,drajatsatrio,netral,0.895,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,hendraismail_bjm,hendraismail_bjm,netral,0.994,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,evolgo_shop,evolgo_shop,netral,0.978,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,dario80547,dario80547,netral,0.976,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,pebeye_,pebeye_,positif,0.895,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,lembagaprivate.smart_kids,lembagaprivatesmart_kids,netral,0.992,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,ale.priya.ef,alepriyaef,positif,0.664,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,tukang_helm_mjk,tukang_helm_mjk,netral,0.95,umum
DZmovwMlId_,https://www.instagram.com/p/DZmovwMlId_/,dho_ridho69,dho_ridho69,netral,0.988,umum
DNP3VxMPYi9,https://www.instagram.com/p/DNP3VxMPYi9/,gresiksumpek.id,gresiksumpekid,netral,0.835,umum
DNP3VxMPYi9,https://www.instagram.com/p/DNP3VxMPYi9/,akas.70,akas70,netral,0.792,umum
DNP3VxMPYi9,https://www.instagram.com/p/DNP3VxMPYi9/,sridwianayanti5,sridwianayanti5,netral,0.933,umum
DNP3VxMPYi9,https://www.instagram.com/p/DNP3VxMPYi9/,budikotak2000,budikotak2000,netral,0.918,umum
DNP3VxMPYi9,https://www.instagram.com/p/DNP3VxMPYi9/,rafachaniago,rafachaniago,netral,0.525,umum
DNP3VxMPYi9,https://www.instagram.com/p/DNP3VxMPYi9/,ainime88,ainime88,netral,0.73,umum
DNP3VxMPYi9,https://www.instagram.com/p/DNP3VxMPYi9/,ivonedellen,ivonedellen,positif,0.532,umum
DNP3VxMPYi9,https://www.instagram.com/p/DNP3VxMPYi9/,leoandreas2025,leoandreas2025,netral,0.935,umum
DNP3VxMPYi9,https://www.instagram.com/p/DNP3VxMPYi9/,ala_zombie,ala_zombie,negatif,0.955,umum
DNP3VxMPYi9,https://www.instagram.com/p/DNP3VxMPYi9/,ailiannn_,ailiannn_,positif,0.797,umum
DNP3VxMPYi9,https://www.instagram.com/p/DNP3VxMPYi9/,urip_ajg,urip_ajg,netral,0.96,umum
DNP3VxMPYi9,https://www.instagram.com/p/DNP3VxMPYi9/,ferryadj,ferryadj,netral,0.823,umum
DNP3VxMPYi9,https://www.instagram.com/p/DNP3VxMPYi9/,lokergresikinfo,lokergresikinfo,netral,0.978,umum
DZ673xctIpv,https://www.instagram.com/p/DZ673xctIpv/,shellacrs_makeup,shellacrs_makeup,netral,0.978,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,bugurusayanggggg,bugurusayanggggg,positif,0.679,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,syaifulromadlon29,syaifulromadlon29,netral,0.984,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,mahaputra944,mahaputra944,netral,0.848,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,kajirifki_,kajirifki_,netral,0.818,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,w_bajol,w_bajol,netral,0.951,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,ilmawan_firdausi,ilmawan_firdausi,netral,0.977,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,muyatno.m,muyatnom,positif,0.432,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,wisnuzibanie,wisnuzibanie,netral,0.773,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,antokwijaya54,antokwijaya54,netral,0.853,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,ikanbuntal_37,ikanbuntal_37,netral,0.971,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,alimfauzi_97,alimfauzi_97,netral,0.894,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,nah.gtu,nahgtu,negatif,0.858,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,ardjunalanangingjagad,ardjunalanangingjagad,positif,0.627,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,yunusafandi39,yunusafandi39,netral,0.668,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,ahmszi,ahmszi,positif,0.515,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,khoir_rafif,khoir_rafif,netral,0.971,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,infogresik,infogresik,netral,0.981,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,bukhosia,bukhosia,positif,0.839,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,vellarahman_,vellarahman_,netral,0.848,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,fabillaalf,fabillaalf,positif,0.803,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,sultanzico5,sultanzico5,positif,0.539,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,andxxhrnds_,andxxhrnds_,netral,0.885,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,aldianpalekaa_,aldianpalekaa_,netral,0.905,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,hamizan.alfarezel,hamizanalfarezel,netral,0.917,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,alannduk,alannduk,netral,0.81,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,vivindwi_oktav,vivindwi_oktav,netral,0.985,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,farel_adho,farel_adho,netral,0.989,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,p_anshorii,p_anshorii,netral,0.988,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,lewatkandangan,lewatkandangan,positif,0.86,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,rryaaannnx,rryaaannnx,positif,0.759,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,ibook.dyro,ibookdyro,positif,0.766,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,imanurlm,imanurlm,positif,0.655,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,harrik_08,harrik_08,netral,0.981,umum
DR4QFA0jw2m,https://www.instagram.com/p/DR4QFA0jw2m/,ameliagitap,ameliagitap,positif,0.661,umum
DR4QFA0jw2m,https://www.instagram.com/p/DR4QFA0jw2m/,masfardian,masfardian,netral,0.648,umum
DR4QFA0jw2m,https://www.instagram.com/p/DR4QFA0jw2m/,wartayimi,wartayimi,netral,0.799,umum
DR4QFA0jw2m,https://www.instagram.com/p/DR4QFA0jw2m/,fendilaros7,fendilaros7,netral,0.866,umum
DR4QFA0jw2m,https://www.instagram.com/p/DR4QFA0jw2m/,titikmasruroh73,titikmasruroh73,netral,0.643,umum
DR4QFA0jw2m,https://www.instagram.com/p/DR4QFA0jw2m/,noviaviy,noviaviy,positif,0.576,umum
DR4QFA0jw2m,https://www.instagram.com/p/DR4QFA0jw2m/,farriestya,farriestya,netral,0.699,umum
DR4QFA0jw2m,https://www.instagram.com/p/DR4QFA0jw2m/,wahyudiarta,wahyudiarta,positif,0.566,umum
DR4QFA0jw2m,https://www.instagram.com/p/DR4QFA0jw2m/,firgimahardika,firgimahardika,netral,0.838,umum
DR4QFA0jw2m,https://www.instagram.com/p/DR4QFA0jw2m/,meenafauzi,meenafauzi,positif,0.831,umum
DR4QFA0jw2m,https://www.instagram.com/p/DR4QFA0jw2m/,tatyk_a_vina,tatyk_a_vina,netral,0.993,umum
DR4QFA0jw2m,https://www.instagram.com/p/DR4QFA0jw2m/,dheaprilia09,dheaprilia09,netral,0.957,umum
DR4QFA0jw2m,https://www.instagram.com/p/DR4QFA0jw2m/,arina_fauzia95,arina_fauzia95,netral,0.988,umum
DR4QFA0jw2m,https://www.instagram.com/p/DR4QFA0jw2m/,ndolenk_off,ndolenk_off,negatif,0.609,umum
DR4QFA0jw2m,https://www.instagram.com/p/DR4QFA0jw2m/,radargresik.id,radargresikid,netral,0.958,umum
DR4QFA0jw2m,https://www.instagram.com/p/DR4QFA0jw2m/,sunardi62527,sunardi62527,netral,0.976,umum
